score,column_deleted,column deleted
0.36853192910670884,[],
0.36680022240748716,,visitor_location_country_id
0.3678709870932532,,prop_country_id
0.36809777885420514,,prop_starrating
0.3686254316989061,,prop_review_score
0.36597408441661106,,prop_brand_bool
0.36525145410482857,,prop_location_score1
0.358727128244652,,prop_location_score2
0.3621356908757294,,prop_log_historical_price
0.36540255638862845,,promotion_flag
0.3708951232654727,,srch_destination_id
0.36975618493239154,,srch_length_of_stay
0.36862341521279335,,srch_booking_window
0.3690430589623663,,srch_adults_count
0.3693582477278852,,srch_children_count
0.36694624008502263,,srch_room_count
0.36544217988439387,,srch_saturday_night_bool
0.3663095715538137,,srch_query_affinity_score
0.3652716931610025,,orig_destination_distance
0.3664829269845626,,random_bool
0.36552231556002174,,prop_count
0.36561059882476266,,promotion_flag_mean
0.3633201361383323,,prop_location_score2_mean
0.365830914184734,,srch_query_affinity_score_mean
0.36459886079155185,,srch_room_count_mean
0.36709177077830657,,srch_children_count_mean
0.36676970848653423,,srch_adults_count_mean
0.36789991621485224,,srch_length_of_stay_mean
0.36536123404250953,,price_usd_rank
0.3684008230321759,,prop_starrating_rank
0.36220273191116054,,prop_review_score_rank
0.3665976354451517,,prop_location_score1_rank
0.36339061298931363,,prop_location_score2_rank
0.365790567860855,,Competitor_Available_count
0.3645049412766828,,Competitor_Cheaper_count
0.36758963839964803,,price_hist_diff
0.365964304268984,,star_hist_diff
0.3620159687701102,,log_price_usd
0.3667572229127023,,hour_sin
0.36420936560589623,,hour_cos
0.3668874671491969,,day_sin
0.3662967067210091,,day_cos
0.3667284822267785,,month_sin
0.36519237142888245,,month_cos
